Metabolite	proportion_medium	medium	SampleName	Compartment	Conc	unit
EX_cpd00003_e0	100	wheat	Wheat11-2	Cecum	3.19784025976382e-09	mM
EX_cpd00003_e0	100	wheat	Wheat9-1	Cecum	1.91403138764197e-09	mM
EX_cpd00003_e0	100	wheat	Wheat9-2	Cecum	2.8921700780679e-11	mM
EX_cpd00003_e0	100	corn	Corn5-1	Colon	5.09508086870421e-11	mM
EX_cpd00003_e0	100	corn	Corn5-2	Colon	6.10991929550083e-11	mM
EX_cpd00003_e0	100	corn	Corn5-3	Colon	4.29420791205707e-11	mM
EX_cpd00003_e0	100	wheat	Wheat11-2	Colon	4.57741714521101e-09	mM
EX_cpd00003_e0	100	wheat	Wheat9-1	Colon	2.05167849773642e-09	mM
EX_cpd00003_e0	100	wheat	Wheat9-2	Colon	2.9217828216429e-11	mM
EX_cpd00003_e0	100	corn	Corn5-1	Duodenum	2.18584712960186e-15	mM
EX_cpd00003_e0	100	corn	Corn5-2	Duodenum	3.96180968951272e-15	mM
EX_cpd00003_e0	100	corn	Corn5-3	Duodenum	2.5356360601011e-16	mM
EX_cpd00003_e0	100	wheat	Wheat9-1	Duodenum	1.02342188740509e-11	mM
EX_cpd00003_e0	100	wheat	Wheat9-2	Duodenum	4.16746860143496e-17	mM
EX_cpd00003_e0	100	corn	Corn5-3	Gizzard	2.98873226322587e-22	mM
EX_cpd00003_e0	100	wheat	Wheat9-1	Gizzard	1.8821360098571e-13	mM
EX_cpd00003_e0	100	wheat	Wheat9-2	Gizzard	2.69837279188912e-22	mM
EX_cpd00003_e0	100	corn	Corn5-1	Ileum	4.89195292173534e-12	mM
EX_cpd00003_e0	100	corn	Corn5-2	Ileum	6.14452837932371e-12	mM
EX_cpd00003_e0	100	corn	Corn5-3	Ileum	3.59789493143811e-12	mM
EX_cpd00003_e0	100	wheat	Wheat11-2	Ileum	1.30588273880559e-07	mM
EX_cpd00003_e0	100	wheat	Wheat9-1	Ileum	1.20789035087672e-09	mM
EX_cpd00003_e0	100	wheat	Wheat9-2	Ileum	1.95913087355157e-12	mM
EX_cpd00003_e0	100	corn	Corn5-1	Jejunum	2.60040376660762e-13	mM
EX_cpd00003_e0	100	corn	Corn5-2	Jejunum	3.92650893441794e-13	mM
EX_cpd00003_e0	100	corn	Corn5-3	Jejunum	1.5781389842399e-13	mM
EX_cpd00003_e0	100	wheat	Wheat9-1	Jejunum	2.28094890769026e-10	mM
EX_cpd00003_e0	100	wheat	Wheat9-2	Jejunum	7.64505802314294e-14	mM
EX_cpd00006_e0	100	corn	Corn10-1	Cecum	1.15593781863953e-09	mM
EX_cpd00006_e0	100	corn	Corn10-2	Cecum	1.0802400537823e-08	mM
EX_cpd00006_e0	100	corn	Corn5-1	Cecum	8.75502333477293e-08	mM
EX_cpd00006_e0	100	corn	Corn5-2	Cecum	7.85621925758261e-09	mM
EX_cpd00006_e0	100	corn	Corn5-3	Cecum	8.25384079209717e-09	mM
EX_cpd00006_e0	100	wheat	Wheat11-1	Cecum	3.6582411928131e-09	mM
EX_cpd00006_e0	100	wheat	Wheat11-2	Cecum	9.13551363063477e-09	mM
EX_cpd00006_e0	100	wheat	Wheat11-3	Cecum	1.63008325661896e-08	mM
EX_cpd00006_e0	100	wheat	Wheat9-1	Cecum	4.02954841376075e-09	mM
EX_cpd00006_e0	100	wheat	Wheat9-2	Cecum	6.1698619779407e-08	mM
EX_cpd00006_e0	100	corn	Corn10-1	Colon	5.75167381171552e-07	mM
EX_cpd00006_e0	100	corn	Corn10-2	Colon	9.46083622787067e-07	mM
EX_cpd00006_e0	100	corn	Corn5-1	Colon	4.4633086429191e-07	mM
EX_cpd00006_e0	100	corn	Corn5-2	Colon	1.69394192008888e-08	mM
EX_cpd00006_e0	100	corn	Corn5-3	Colon	8.19068319834797e-08	mM
EX_cpd00006_e0	100	wheat	Wheat11-1	Colon	1.21488465745561e-08	mM
EX_cpd00006_e0	100	wheat	Wheat11-2	Colon	3.80331865632714e-08	mM
EX_cpd00006_e0	100	wheat	Wheat11-3	Colon	3.29660140561445e-08	mM
EX_cpd00006_e0	100	wheat	Wheat9-1	Colon	4.04982588452862e-08	mM
EX_cpd00006_e0	100	wheat	Wheat9-2	Colon	3.90063430685587e-07	mM
EX_cpd00006_e0	100	corn	Corn10-1	Duodenum	1.63955785527482e-08	mM
EX_cpd00006_e0	100	corn	Corn10-2	Duodenum	5.20483745670547e-09	mM
EX_cpd00006_e0	100	corn	Corn5-1	Duodenum	8.5800579635997e-08	mM
EX_cpd00006_e0	100	corn	Corn5-2	Duodenum	8.01734592871157e-08	mM
EX_cpd00006_e0	100	corn	Corn5-3	Duodenum	1.4378240223971e-07	mM
EX_cpd00006_e0	100	wheat	Wheat11-1	Duodenum	4.50903322236128e-08	mM
